display,name,revenue_mln,avg_price,commission_pct,buyout_pct,parent_category,full_path,issues,niche_status,fix_action
Препараты от вредных привычек,Препараты от вредных привычек,1.5,0.0,3.0,1.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Туторы пальцевые,Туторы пальцевые,1.3,821.0,25.0,0.6128,БЕЗ ПУТИ,,no_path,,Поиск пути
Подшивы,Подшивы,1.0,626.0,29.5,0.9192,БЕЗ ПУТИ,,no_path,,Поиск пути
Горжетки,Горжетки,0.6,1467.0,34.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Противогеморроидальные препараты,Противогеморроидальные препараты,0.6,0.0,3.0,0.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Стоматологические препараты,Стоматологические препараты,0.5,0.0,3.0,0.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Ершовая загрузка,Ершовая загрузка,0.4,326.0,28.0,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Накатки для лыж,Накатки для лыж,0.4,2098.0,22.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Продукты / Пироги,Пироги,0.3,0.0,16.5,1.0,Продукты,"Продукты/Сладости и хлебобулочные изделия/Пироги, сдоба, кексы, рулеты/Пирог",no_price,,MPStats refresh
Тороки для дичи,Тороки для дичи,0.3,591.0,27.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Замороженные вторые блюда,Замороженные вторые блюда,0.3,0.0,16.5,0.0,Продукты,Продукты/Готовая еда/Закуски/Замороженные вторые блюда,no_price,,MPStats refresh
Продукты / Стритфуд,Стритфуд,0.3,0.0,16.5,0.0,Продукты,Продукты/Готовая еда/Закуски/Стритфуд,no_price,,MPStats refresh
Высотомеры,Высотомеры,0.2,2962.0,22.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Панельки под микросхемы,Панельки под микросхемы,0.2,432.5,28.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Саке,Саке,0.2,3720.0,4.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Акции / Филе,Филе,0.2,0.0,16.5,0.0,Акции,Акции/Дачные скидки/Продукты/Мясная продукция/Филе,no_price,,MPStats refresh
Шпиндели автомобильные,Шпиндели автомобильные,0.2,1562.0,21.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Продукты / Фрикадельки,Фрикадельки,0.2,0.0,16.5,0.0,Продукты,Продукты/Бакалея/Крупы/Фрикадельки,no_price,,MPStats refresh
Продукты / Блины,Блины,0.2,0.0,21.5,0.0,Продукты,Продукты/Готовая еда/Закуски/Блины,no_price,,MPStats refresh
Солезаменители,Солезаменители,0.2,296.0,21.5,0.9895,БЕЗ ПУТИ,,no_path,,Поиск пути
Продукты / Сырники,Сырники,0.2,0.0,16.5,0.0,Продукты,Продукты/Здоровое питание/Сырники,no_price,,MPStats refresh
Продукты / Пицца,Пицца,0.1,0.0,16.5,0.0,Продукты,Продукты/Готовая еда/Пицца,no_price,,MPStats refresh
Продукты / Вареники,Вареники,0.1,0.0,16.5,0.0,Продукты,Продукты/Вкусные подарки/Вареники,no_price,,MPStats refresh
Продукты / Сэндвичи,Сэндвичи,0.1,0.0,16.5,0.0,Продукты,Продукты/Готовая еда/Закуски/Сэндвичи,no_price,,MPStats refresh
Люля-кебаб,Люля-кебаб,0.1,146.5,16.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Пантолеты,Пантолеты,0.1,1500.0,0.0,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Продукты / Голубцы,Голубцы,0.1,0.0,16.5,0.0,Продукты,Продукты/Бакалея/Консервация/Голубцы,no_price,,MPStats refresh
Лангустины,Лангустины,0.1,1829.0,16.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Продукты / Замороженная пицца,Замороженная пицца,0.0,0.0,16.5,0.0,Продукты,Продукты/Готовая еда/Закуски/Замороженная пицца,no_price,,MPStats refresh
Хинкали,Хинкали,0.0,0.0,16.5,1.0,БЕЗ ПУТИ,,"no_path, no_price",,Поиск пути
Продукты / Пирожки,Пирожки,0.0,0.0,16.5,0.0,Продукты,Продукты/Снеки/Пирожки,no_price,,MPStats refresh
Блейзеры,Блейзеры,0.0,0.0,0.0,1.0,БЕЗ ПУТИ,,"no_path, no_price",,Поиск пути
Катык,Катык,0.0,0.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, no_price",,Поиск пути
