display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Автотовары / Диски,Диски пильные,"961,803,079","1,089",2350.0%,93.9%,69.0%,990
Сад и дача / Бассейны каркасные,Бассейны каркасные,"956,091,437","11,598",2850.0%,85.7%,70.6%,428
Автотовары / Тяги рулевые,Рулевые механизмы,"953,368,144","16,236",2650.0%,81.9%,72.9%,374
Мужчинам / Ювелирные цепочки,Ювелирные цепочки,"947,937,130","1,068",3300.0%,64.5%,53.8%,374
Дом / Горшки для цветов,Горшки для цветов,"946,456,156",965,2950.0%,85.3%,62.1%,1991
Автотовары / Тиски,Тиски,"946,112,493","1,806",3150.0%,88.9%,63.9%,580
Для ремонта / Счетчики воды,Счетчики воды,"945,881,851","1,724",2750.0%,85.7%,67.7%,253
Крепления велосипедного кресла,Крепления велосипедного кресла,"943,450,457","1,686",2250.0%,50.0%,72.7%,99
Женщинам / Велосипедки,Велосипедки,"939,715,691",610,3450.0%,61.5%,41.9%,1479
Аккумуляторы для электроинструмента,Аккумуляторы для электроинструмента,"937,733,181","1,864",3150.0%,82.3%,63.9%,1102
Пыльники автомобильные,Пыльники автомобильные,"934,088,536","1,006",2650.0%,89.7%,64.5%,703
Дом / Тарелки,Тарелки,"933,240,520","1,223",2950.0%,81.0%,62.7%,2685
Дом / Кашпо,Кашпо,"926,854,001","1,006",2950.0%,83.9%,61.5%,2554
Бытовая техника / Кофемашины,Кофемашины,"923,610,566","14,491",2450.0%,85.9%,75.0%,654
Автотовары / Съемники подшипников,Съемники подшипников,"917,110,232","1,851",3050.0%,91.7%,65.2%,482
Насосы циркуляционные,Насосы циркуляционные,"913,898,010","4,256",2750.0%,85.4%,70.5%,497
Красота / Зубные пасты,Зубные пасты,"910,793,140",636,3200.0%,94.6%,54.7%,3586
Сад и дача / Электропилы цепные,Электропилы цепные,"908,943,695","4,958",1950.0%,87.2%,78.7%,1498
Электроника / Материнские платы,Материнские платы,"907,565,314","10,166",2150.0%,97.6%,77.7%,415
Женщинам / Ремни,Ремни,"901,756,445",870,3450.0%,64.8%,51.2%,3103
Мужчинам / Браслеты,Браслеты,"901,021,184",649,2850.0%,70.4%,55.0%,8201
Дом / Держатели для ванной,Держатели для ванной,"899,889,728","1,264",2950.0%,86.0%,63.9%,2149
Комбинезоны спортивные,Комбинезоны спортивные,"890,689,672","2,628",3450.0%,26.0%,51.6%,996
Сальники автомобильные,Сальники автомобильные,"889,732,676",735,2650.0%,86.1%,61.0%,797
Автотовары / Ролики автомобильные,Ролики автомобильные,"889,487,990","1,756",2650.0%,84.9%,68.0%,488
Красота / Дезодоранты,Дезодоранты,"889,187,385",622,3250.0%,94.7%,53.1%,3736
Красота / Духи,Духи,"889,126,647","1,028",3250.0%,85.3%,58.6%,3618
Вентиляторы для систем вентиляции,Вентиляторы для систем вентиляции,"888,527,785","2,569",2750.0%,86.7%,69.4%,601
Для ремонта / Розетки,Розетки,"882,517,781","1,019",2850.0%,91.0%,63.4%,1605
Акции / Ювелирные часы,Ювелирные подвески,"882,157,499","3,155",3300.0%,70.8%,63.8%,841
Обувь / Тапочки,Тапочки,"869,887,215",792,3450.0%,67.8%,51.1%,2276
Автотовары / Диски,Диски алмазные,"865,819,341","1,008",2350.0%,89.2%,68.6%,1073
Дом / Фитинги,Фитинги,"865,554,611",673,2750.0%,88.6%,59.5%,1237
Бытовая техника / Кулеры для воды,Кулеры для воды,"857,135,573","4,324",2450.0%,89.9%,73.5%,274
Спорт / Втулки велосипедные,Втулки автомобильные,"843,394,386",589,2650.0%,86.5%,58.1%,905
Автотовары / Валы карданные,Валы приводные,"841,762,281","9,586",2650.0%,81.0%,72.4%,248
Дом / Пледы,Пледы,"838,311,432","1,550",2950.0%,78.3%,63.9%,2477
Для ремонта / Водосточные системы,Водосточные системы,"830,987,301","1,491",2050.0%,87.0%,73.9%,214
Костюмы для малышей,Костюмы для малышей,"825,706,203","1,152",3450.0%,64.2%,54.4%,2352
Автотовары / Термостаты двигателя,Термостаты двигателя,"820,102,944","1,713",2650.0%,73.5%,67.8%,655
Прокладки головок цилиндра,Прокладки головок цилиндра,"816,772,206","2,184",2650.0%,87.3%,68.8%,391
Автотовары / Брызговики,Брызговики,"815,884,567","1,454",2650.0%,84.4%,67.6%,980
Детям / Машинки,Машинки,"814,517,519","1,214",2500.0%,86.0%,68.0%,2840
Для ремонта / Поддоны для душа,Поддоны для душа,"814,111,575","20,939",2750.0%,76.3%,72.0%,130
Компрессоры кондиционера для авто,Компрессоры кондиционера для авто,"812,543,857","11,874",2650.0%,87.3%,73.2%,136
Запчасти для садовой техники,Запчасти для садовой техники,"812,440,088","1,017",2850.0%,91.8%,62.7%,1520
Настольные игры для детей,Настольные игры для детей,"810,243,764",842,2850.0%,90.3%,61.3%,4535
Канцтовары / Циркули,Штангенциркули,"808,393,998","1,358",3150.0%,85.6%,62.2%,664
Дом / Пряжа,Пряжа,"807,341,226",813,2950.0%,87.4%,59.1%,1380
Дом / Мусорные ведра,Мусорные ведра,"806,880,850","2,080",2950.0%,78.5%,66.1%,1403
Дом / Воздушные шарики,Воздушные шарики,"805,443,419",523,3250.0%,86.4%,49.6%,2110
Приводы автомобильные,Приводы автомобильные,"805,198,254","7,911",2650.0%,75.7%,72.3%,352
Масла трансмиссионные,Масла трансмиссионные,"804,924,137","2,429",2650.0%,83.8%,69.5%,609
Дом / Бра,Бра,"804,666,224","3,692",2950.0%,76.1%,67.8%,1163
Канцтовары / Папки канцелярские,Папки канцелярские,"802,891,065",747,2950.0%,83.6%,57.3%,1590
Спорт / Топы спортивные,Топы спортивные,"800,026,439","1,158",3450.0%,36.8%,48.9%,1035
Дом / Полки для ванной,Полки для ванной,"794,204,458","1,508",2750.0%,82.8%,66.5%,2126
Мебель / Столы компьютерные,Столы компьютерные,"793,117,419","12,362",2050.0%,86.9%,78.8%,427
Автотовары / Датчики кислорода,Датчики кислорода,"791,464,017","3,761",2650.0%,74.5%,71.0%,498
Автотовары / Головки торцевые,Головки торцевые,"791,184,622",634,3050.0%,88.8%,56.6%,1098
Патрубки автомобильные,Патрубки автомобильные,"784,868,617","1,496",2650.0%,83.3%,67.6%,742
Дом / Светильники уличные,Светильники уличные,"780,017,942","1,021",2950.0%,88.9%,62.6%,2267
Провода электрические,Провода электрические,"777,685,178","1,079",2850.0%,84.4%,66.2%,453
Женщинам / Плавки,Плавки,"777,656,794",863,3450.0%,38.5%,43.4%,963
Бытовая техника / Вытяжки кухонные,Вытяжки кухонные,"765,284,116","10,490",1950.0%,84.6%,79.5%,327
Фигурки и вывески садовые,Фигурки и вывески садовые,"764,893,182","1,179",2800.0%,87.5%,65.8%,1643
Дом / Трапы для душа,Трапы для душа,"763,482,711","4,438",2750.0%,76.5%,70.0%,541
Зеркала автомобильные,Зеркала автомобильные,"763,262,563","1,696",2650.0%,82.1%,68.2%,1262
Цилиндры автомобильные,Цилиндры автомобильные,"761,661,091","1,851",2650.0%,87.2%,69.0%,725
Аксессуары / Чемодан,Чемоданы,"761,617,902","5,988",3450.0%,59.4%,63.5%,1047
Для ремонта / Клещи строительные,Клещи строительные,"758,890,996","1,677",3150.0%,88.4%,63.3%,1149
Столешницы для ванной,Столешницы для ванной,"758,198,801","11,959",2750.0%,75.8%,71.5%,64
Автотовары / Противотуманные фары,Противотуманные фары,"755,634,975","2,250",2650.0%,79.1%,69.4%,1264
Системы видеонаблюдения,Системы видеонаблюдения,"755,211,392","8,787",2450.0%,83.3%,74.1%,408
Дом / Покрывала,Покрывала,"755,150,063","1,938",2950.0%,66.8%,64.5%,1328
Для ремонта / Контакторы,Контакторы,"755,007,048","2,196",2850.0%,91.4%,68.7%,176
Турбонагнетатели,Турбонагнетатели,"754,930,381","11,224",2650.0%,74.2%,72.6%,237
Автотовары / Подкрылки,Подкрылки,"754,388,310","2,974",2650.0%,79.4%,70.2%,250
Дом / Лейки для душа,Лейки для душа,"746,896,783",914,2750.0%,88.2%,63.0%,1797
Электроника / Роутеры,Роутеры,"743,965,509","4,769",2450.0%,83.8%,73.4%,1126
Для ремонта / Пневмопистолет,Пневмопистолеты,"743,779,476","1,896",3150.0%,88.3%,63.7%,805
Электроника / Умные колонки,Умные колонки,"742,491,375","6,018",1650.0%,96.3%,81.8%,546
Женщинам / Кофты,Кофты,"742,315,742","1,376",3450.0%,37.8%,50.9%,3066
Детям / Куклы,Куклы,"742,079,800","1,502",2850.0%,80.0%,65.3%,2649
Конструкторы,Конструкторы,"740,297,576","1,286",2850.0%,89.4%,64.8%,4135
Бытовая техника / Фены,Фены,"740,088,103","2,518",2550.0%,77.3%,70.7%,3131
Спорт / Самокаты,Самокаты,"739,675,013","4,296",2750.0%,76.1%,70.1%,960
Электроника / Зарядные устройства,Зарядные устройства,"737,094,891",910,2950.0%,85.6%,61.6%,4316
Уровни строительные,Уровни строительные,"735,640,534","1,362",3150.0%,89.8%,62.0%,832
Электроника / Жесткие диски,Жесткие диски,"733,874,890","15,076",2150.0%,90.6%,77.8%,280
Дом / Гели для стирки,Гели для стирки,"731,215,297",842,2950.0%,94.2%,60.3%,2341
Женщинам / Бриджи,Бриджи,"726,501,522",686,3450.0%,52.3%,45.1%,847
Электроника / Процессоры,Процессоры,"726,491,440","10,492",2150.0%,97.0%,77.7%,362
Камеры видеонаблюдения,Камеры видеонаблюдения,"725,524,757","3,609",2450.0%,82.2%,72.5%,1807
Чайники электрические,Чайники электрические,"723,991,833","2,508",2450.0%,85.1%,72.1%,1764
Детям / Игровые консоли,Игровые консоли,"718,614,691","3,487",1950.0%,79.4%,77.2%,1338
Электроника / Электросамокат,Электросамокаты,"716,835,628","11,110",1350.0%,79.3%,85.9%,465
Косметические наборы для ухода,Косметические наборы для ухода,"716,122,625",986,3250.0%,91.5%,58.3%,4754
Сад и дача / Опрыскиватели,Опрыскиватели,"715,941,915","1,316",1950.0%,91.8%,74.9%,1961
Наполнители для лотков и клеток,Наполнители для лотков и клеток,"709,812,455","1,182",2150.0%,94.8%,71.4%,1594
Массажеры электрические,Массажеры электрические,"707,153,028","1,802",2550.0%,83.9%,69.1%,4168
Дом / Ручки,Ручки,"703,196,227",605,2950.0%,90.5%,56.4%,2816
Электроника / МФУ,МФУ,"702,545,640","24,664",2450.0%,86.7%,75.1%,168
Для ремонта / Другие измерители,Другие измерители,"700,895,416","1,290",3150.0%,79.4%,61.9%,687
Продукты / Вина,Вина,"699,750,170","2,140",950.0%,70.0%,37.4%,7
Спорт / Элементы питания,Элементы питания,"697,802,660",854,2750.0%,93.5%,62.7%,1874
Дом / Рулонные шторы,Рулонные шторы,"696,102,584","1,878",2950.0%,81.9%,65.7%,491
Лакомства для животных,Лакомства для животных,"695,869,915",523,2150.0%,96.7%,62.1%,863
